trade_date,ts_code,alpha_score,rank
20251126,002728.SZ,2.1549405423854777,10
20251127,300456.SZ,2.3557380806422428,1
20251127,002596.SZ,2.3139730760250683,2
20251127,600635.SH,2.2869132592574553,3
20251127,301171.SZ,2.271509566295099,4
20251127,002728.SZ,2.2674339682731124,5
20251127,300131.SZ,2.2289322832427856,6
20251127,000510.SZ,2.206718496611777,7
20251127,300058.SZ,2.2050215523337253,8
20251127,002264.SZ,2.1796910882790272,9
20251127,002083.SZ,2.1743276592387146,10
20251128,002702.SZ,2.3922332842765597,1
20251128,300456.SZ,2.3922332842765597,2
20251128,002596.SZ,2.3922332842765597,3
20251128,300102.SZ,2.318255670441971,4
20251128,000510.SZ,2.3169891864590606,5
20251128,002413.SZ,2.2474326997348597,6
20251128,002638.SZ,2.2243624198952032,7
20251128,300058.SZ,2.2170089453784896,8
20251128,300131.SZ,2.206604816683338,9
20251128,300115.SZ,2.2012840601379566,10
20251201,300102.SZ,2.3790692875839183,1
20251201,002596.SZ,2.3790692875839183,2
20251201,000510.SZ,2.361015628062963,3
20251201,000078.SZ,2.306480388062408,4
20251201,002702.SZ,2.2629581908526135,5
20251201,300456.SZ,2.241093774508913,6
20251201,000070.SZ,2.1382669877542324,7
20251201,300115.SZ,2.112867653422213,8
20251201,688523.SH,2.0397866868040135,9
20251201,000426.SZ,2.0328978470671037,10
20251202,002413.SZ,2.3719015404129657,1
20251202,002702.SZ,2.3719015404129657,2
20251202,300102.SZ,2.3719015404129657,3
20251202,300456.SZ,2.3656068690170793,4
20251202,000510.SZ,2.3597125213553474,5
20251202,000078.SZ,2.343641632067823,6
20251202,002596.SZ,2.302708027978712,7
20251202,002285.SZ,2.301110535614707,8
20251202,000547.SZ,2.269966039306488,9
20251202,000070.SZ,2.241908812440297,10
20251203,000547.SZ,2.3907366251775497,1
20251203,002702.SZ,2.3907366251775497,2
20251203,000510.SZ,2.3888270073664657,3
20251203,002565.SZ,2.355833736106742,4
20251203,002413.SZ,2.353561193237392,5
20251203,300269.SZ,2.3485907845858525,6
20251203,000078.SZ,2.3406106535991347,7
20251203,300102.SZ,2.3056116072684416,8
20251203,002285.SZ,2.2296226454583783,9
20251203,000593.SZ,2.2257083429018616,10
20251204,000078.SZ,2.3517601366772243,1
20251204,300269.SZ,2.3517601366772243,2
20251204,002702.SZ,2.3517601366772243,3
20251204,000547.SZ,2.3517601366772243,4
20251204,300102.SZ,2.344111917315194,5
20251204,002565.SZ,2.319126809639471,6
20251204,002413.SZ,2.258836136594043,7
20251204,600151.SH,2.2111259277698814,8
20251204,000633.SZ,2.2068599270022187,9
20251204,002589.SZ,2.1999755101652405,10
20251205,300269.SZ,2.324293055582921,1
20251205,000078.SZ,2.324293055582921,2
20251205,002300.SZ,2.324293055582921,3
20251205,002702.SZ,2.324293055582921,4
20251205,300102.SZ,2.324293055582921,5
20251205,000510.SZ,2.324293055582921,6
20251205,000547.SZ,2.308175838782838,7
20251205,002565.SZ,2.29915006247555,8
20251205,600151.SH,2.2924700226645096,9
20251205,002413.SZ,2.2743163373281754,10
20251208,300102.SZ,2.2984833016412147,1
20251208,300269.SZ,2.2984833016412147,2
20251208,002702.SZ,2.2984833016412147,3
20251208,002300.SZ,2.2984833016412147,4
20251208,000078.SZ,2.2984833016412147,5
20251208,002589.SZ,2.2763154933211256,6
20251208,600151.SH,2.270748148114599,7
20251208,000701.SZ,2.2332772897231985,8
20251208,601399.SH,2.2193304681569024,9
20251208,002578.SZ,2.2122093835863312,10
20251209,002565.SZ,2.3038320276496753,1
20251209,300427.SZ,2.3038320276496753,2
20251209,002702.SZ,2.3038320276496753,3
20251209,600151.SH,2.3038320276496753,4
20251209,002300.SZ,2.271727571843191,5
20251209,002589.SZ,2.265044986794306,6
20251209,601399.SH,2.2589499628690985,7
20251209,300102.SZ,2.251505534103439,8
20251209,000901.SZ,2.2493362825498067,9
20251209,001330.SZ,2.2256641327529727,10
20251210,002300.SZ,2.2943765781716885,1
20251210,600151.SH,2.2943765781716885,2
20251210,002512.SZ,2.2943765781716885,3
20251210,002565.SZ,2.2943765781716885,4
20251210,002682.SZ,2.2943765781716885,5
20251210,000905.SZ,2.2773427215619058,6
20251210,601399.SH,2.2546191317362476,7
20251210,002163.SZ,2.2436142379509443,8
20251210,002752.SZ,2.2257897190120457,9
20251210,000901.SZ,2.1934447019014844,10
20251211,002519.SZ,2.292779079422169,1
20251211,000905.SZ,2.292779079422169,2
20251211,002682.SZ,2.292779079422169,3
20251211,002565.SZ,2.292779079422169,4
20251211,601399.SH,2.245805301056386,5
20251211,001330.SZ,2.2431869307182453,6
20251211,300337.SZ,2.205124875442361,7
20251211,600151.SH,2.200011058593641,8
20251211,000735.SZ,2.1919949910814944,9
20251211,300427.SZ,2.181558565866144,10
20251212,002682.SZ,2.331296107745273,1
20251212,002235.SZ,2.331296107745273,2
20251212,600151.SH,2.265131763161301,3
20251212,001330.SZ,2.223983343988291,4
20251212,002149.SZ,2.218415180510039,5
20251212,002519.SZ,2.21392535904182,6
20251212,600105.SH,2.20549071167225,7
20251212,688387.SH,2.1405492504869557,8
20251212,300337.SZ,2.1334668079918977,9
20251212,601106.SH,2.118832625824129,10
20251215,001280.SZ,2.3794983289832357,1
20251215,002565.SZ,2.3479739978849934,2
20251215,002682.SZ,2.3479739978849934,3
20251215,002235.SZ,2.3421560593076385,4
20251215,601399.SH,2.3347791472309605,5
20251215,002149.SZ,2.271471401688318,6
20251215,000735.SZ,2.2641708900852016,7
20251215,002519.SZ,2.2363459799550296,8
20251215,002413.SZ,2.2119069277478602,9
20251215,600879.SH,2.1552838882373924,10
20251216,600151.SH,2.393750218649862,1
20251216,002300.SZ,2.393750218649862,2
20251216,002639.SZ,2.382762132775448,3
20251216,002565.SZ,2.371425955447888,4
20251216,002149.SZ,2.315879544167525,5
20251216,000735.SZ,2.2811006745687803,6
20251216,600879.SH,2.241204671713775,7
20251216,688387.SH,2.232782063185817,8
20251216,000505.SZ,2.229079818482889,9
20251216,300265.SZ,2.2108379793356283,10
20251217,600151.SH,2.347815125946398,1
20251217,601399.SH,2.3282330262021245,2
20251217,002149.SZ,2.297037155875743,3
20251217,002639.SZ,2.2959356830432,4
20251217,002300.SZ,2.2850239326309763,5
20251217,002565.SZ,2.2827331353075855,6
20251217,600879.SH,2.2431706018984734,7
20251217,002792.SZ,2.221089409545462,8
20251217,000657.SZ,2.1510061234287954,9
20251217,000890.SZ,2.144325594774748,10
20251218,300342.SZ,2.3387638623403326,1
20251218,600151.SH,2.2926685813606347,2
20251218,002792.SZ,2.2418985476013424,3
20251218,600879.SH,2.1938595152470497,4
20251218,688387.SH,2.1788103218536503,5
20251218,300265.SZ,2.1707937089848808,6
20251218,601399.SH,2.149171056959603,7
20251218,000950.SZ,2.1303675447661345,8
20251218,002300.SZ,2.1087592121196144,9
20251218,600118.SH,2.1075076289468724,10
20251219,300342.SZ,2.327132199170101,1
20251219,688387.SH,2.3089816662579965,2
