simulation_id,type,top_n,stop_loss,max_position,target_vol,annual_return,sharpe,max_drawdown,win_rate,total_return
72,antithetic,12,0.2220144911670946,0.0753508594881976,0.27400585198937316,0.45461995059207777,0.24434075809362638,-0.08422807689297485,0.64,10.323942115184972
73,original,27,0.23388384977349666,0.11496328990472146,0.1734655564006629,0.6162219663947452,0.22711974109039668,-0.09686244011401879,0.6666666666666666,20.742705582218125
74,antithetic,33,0.11611615022650332,0.08503671009527855,0.2765344435993371,0.6025625775384608,0.29858744964243034,-0.07713037107047413,0.8133333333333334,25.200859444125403
75,original,13,0.1809013362873476,0.13492234104941778,0.18753643472468928,0.7391910773255276,0.2412369018543631,-0.10521772218093535,0.6533333333333333,37.951399079765956
76,antithetic,47,0.16909866371265236,0.06507765895058223,0.26246356527531073,0.4481511324570894,0.2973921832856319,-0.09834214365914169,0.7333333333333333,11.180283492822442
77,original,34,0.22111602327460939,0.11576128923003433,0.23238399970591805,0.6284877960313143,0.2316838598290252,-0.09114184814577485,0.68,22.397267060806303
78,antithetic,26,0.1288839767253906,0.08423871076996568,0.21761600029408196,0.5838208994362151,0.2898053586711007,-0.06704975479352124,0.7866666666666666,22.467933898226107
79,original,23,0.234413694988524,0.10683086033354716,0.2571893884050093,0.5702247029911174,0.23341591044967763,-0.09260805243881447,0.6666666666666666,17.358241614523074
80,antithetic,37,0.11558630501147599,0.09316913966645285,0.1928106115949907,0.6283291531752927,0.28604755387412745,-0.07448130596342438,0.8266666666666667,27.73159338834043
81,original,18,0.1477005212457796,0.05936747678280925,0.24902960650765968,0.4557291541408861,0.31929459108564584,-0.08198466949335209,0.8,12.047136648731525
82,antithetic,42,0.20229947875422039,0.14063252321719077,0.20097039349234033,0.7161715115893549,0.2333525816112798,-0.10521772218093518,0.6266666666666667,32.851100691743646
83,original,35,0.11650778867915151,0.08677158030594335,0.19199008454189143,0.5903550795749255,0.29333177307240604,-0.06704405451030487,0.8133333333333334,23.435694304936394
84,antithetic,25,0.23349221132084846,0.11322841969405666,0.2580099154581086,0.6242416405021631,0.22982698766183834,-0.09686244011401877,0.6666666666666666,21.755889660453892
85,original,11,0.13419027438129125,0.07652023676817254,0.2932297920994791,0.5897649362561416,0.29179344455012585,-0.08014829856939372,0.7733333333333333,23.2242038947612
86,antithetic,49,0.21580972561870873,0.12347976323182747,0.15677020790052093,0.6275716007226733,0.23147324199316127,-0.09114184814577479,0.68,22.301235164524602
87,original,29,0.16406616829393844,0.07439896433790835,0.26068453750436527,0.4889716686760265,0.2850139365179026,-0.07515128041850497,0.6933333333333334,13.626311027530798
88,antithetic,31,0.18593383170606154,0.12560103566209166,0.18931546249563475,0.7276496289895868,0.23708527481073824,-0.1052177221809351,0.64,35.236288536863675
89,original,37,0.22270221488837397,0.14730105547524455,0.2331531078767101,0.8126908148485845,0.2280374476443611,-0.05855910071927961,0.6533333333333333,47.31435992601817
90,antithetic,23,0.127297785111626,0.05269894452475546,0.21684689212328992,0.4467125389720863,0.3450100185482214,-0.06734439531969118,0.8,11.808828175017087
91,original,16,0.2291095874884515,0.08930977246667604,0.24175811193515281,0.487128128246092,0.24093719777135658,-0.07843110353053323,0.6533333333333333,12.040960342739163
92,antithetic,44,0.12089041251154847,0.11069022753332397,0.2082418880648472,0.6649712227168209,0.27307198555098616,-0.08004734985548209,0.8,31.642463175895116
93,original,17,0.10104281957967862,0.13920465551771133,0.2129400093641685,0.8093154791560281,0.2637477995038199,-0.09729501993241202,0.8133333333333334,58.18588799283999
94,antithetic,43,0.24895718042032136,0.06079534448228868,0.23705999063583152,0.36667881990131745,0.2574941361233739,-0.08256997713057994,0.64,6.609245841005782
95,original,44,0.17661209538663486,0.11311386259972629,0.1871596484251736,0.660844589475885,0.24432592218877844,-0.09114184814577485,0.7066666666666667,27.537476638365245
96,antithetic,16,0.17338790461336512,0.08688613740027372,0.26284035157482644,0.5465979588276965,0.27107626739604973,-0.08478961102742605,0.72,17.708910954427466
97,original,23,0.16261165047231685,0.12948113035416484,0.20339590179768924,0.7525313177819486,0.24594908067154642,-0.10001165998809523,0.6933333333333334,41.29303283371933
98,antithetic,37,0.18738834952768313,0.07051886964583517,0.24660409820231077,0.4497287625267003,0.28183160122206385,-0.07163262749587845,0.68,10.98041445471148
99,original,26,0.13331617157060954,0.10026370931051921,0.26367691656965536,0.6614797513232179,0.2714543290031855,-0.0868865137634503,0.76,30.912787953624832
100,antithetic,34,0.21668382842939043,0.0997362906894808,0.18632308343034465,0.5349877755502578,0.24270177723532915,-0.08483960113180515,0.6666666666666666,15.305582026949963
101,original,45,0.11797980510005243,0.10769038846263591,0.15215902329446337,0.65812814236193,0.270370213255061,-0.08004734985548234,0.8133333333333334,30.364785846837318
102,antithetic,15,0.23202019489994755,0.0923096115373641,0.29784097670553666,0.5342204213261861,0.2413392742451145,-0.09126907169804785,0.6533333333333333,15.138639456536378
103,original,49,0.1506422757105442,0.09925176938188639,0.16741089607603743,0.591077415376206,0.269896861998331,-0.07770623331811607,0.7466666666666667,22.017745657990687
