ts_code,error
600025.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600027.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600030.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600048.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600050.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600061.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600066.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600089.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600111.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600115.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600150.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600160.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600161.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600176.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600183.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600188.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600219.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600233.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600276.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600346.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600362.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600372.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600377.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600406.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600415.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600426.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600436.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600438.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600482.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600489.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600515.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600519.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600522.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600547.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600570.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600585.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600588.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600600.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600660.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600674.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
